w,p,LL_diff,LL_diff_log
0.72,0.22,6896.882333,3.838652817
0.73,0.22,3032.427584,3.481790438
0.74,0.22,5054.290655,3.703660213
0.75,0.22,41150.98541,4.614380239
0.76,0.22,42441.51514,4.62779088
0.77,0.22,14783.60271,4.169780283
0.78,0.22,171681.5543,5.234723637
0.79,0.22,3455.008224,3.538449085
0.8,0.22,21736.81,4.337195809
0.81,0.22,29167.72838,4.464902607
0.82,0.22,19551.38994,4.291177638
0.83,0.22,57302.73715,4.758175367
0.84,0.22,21674.69432,4.335952981
0.85,0.22,8104.757003,3.908739998
0.86,0.22,36245.07009,4.559248944
0.87,0.22,11713.04526,4.068669822
0.88,0.22,16799.37494,4.225293123
0.89,0.22,21689.11727,4.336241877
0.9,0.22,32080.94116,4.506247101
0.91,0.22,33718.57432,4.527869204
0.92,0.22,10888.43149,4.036965323
0.93,0.22,93655.64332,4.971533951
0.94,0.22,70855.50213,4.85037358
0.95,0.22,0.428683018,-0.36786372
0.96,0.22,98536.63606,4.993597732
0.97,0.22,27736.79921,4.443056343
0.98,0.22,68982.98579,4.838741988
0.99,0.22,86883.66955,4.938938155
1,0.22,NA,NA
0,0.23,0,#NAME?
0.01,0.23,0,#NAME?
0.02,0.23,0,#NAME?
0.03,0.23,1.034612237,0.014777611
0.04,0.23,0.066026758,-1.180280028
0.05,0.23,0,#NAME?
0.06,0.23,2.788494711,0.445369825
0.07,0.23,3.852624725,0.585756708
0.08,0.23,9.102913024,0.959180393
0.09,0.23,23.95850651,1.379459742
0.1,0.23,6.44419003,0.809168339
0.11,0.23,10.01723265,1.00074776
0.12,0.23,11.7842469,1.071301833
0.13,0.23,31.82703428,1.502796172
0.14,0.23,7.602765038,0.880971569
0.15,0.23,40.73534033,1.609971349
0.16,0.23,24.74848149,1.393548557
0.17,0.23,13.50782867,1.130585543
0.18,0.23,39.63498766,1.598078727
0.19,0.23,21.73687602,1.337197128
0.2,0.23,23.84397895,1.37737873
0.21,0.23,51.85775573,1.714813718
0.22,0.23,126.2827714,2.101344104
0.23,0.23,50.02548883,1.699191341
